scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\005D\img010.png,,,,,,,296.90189691221474,192.3001939335171,302.60354231689945,176.82429926365865,313.19231235417107,155.64675918911541,322.9665616193448,136.09826065876786,270.02271143298685,217.55033786854938,281.4260022423563,207.77608860337563,291.20025150753,189.85663161722368,297.71641768431255,176.00977849156084,309.11970849368197,155.64675918911541,317.26491621466016,134.46921911457224
labeled-data\005D\img014.png,,,,,287.127647647041,210.21965091966905,296.08737614011693,194.7437562498106,306.67614617738855,176.82429926365865,313.19231235417107,158.9048422775067,319.7084785309536,138.54182297506134,275.72435683767156,220.80842095694067,276.5388776097694,206.96156783127782,285.4986061028453,189.85663161722368,296.90189691221474,172.75169540316955,308.30518772158416,156.46127996121322,316.4503954425623,132.84017757037662
labeled-data\005D\img042.png,,,,,,,343.32958092179024,159.7193630496045,356.3619132753553,136.91278143086566,369.3942456289203,112.4771582679312,388.9427441592679,91.29961819338803,303.41806308899726,192.3001939335171,314.0068331262689,169.49361231477832,323.7810823914427,147.50155146813728,333.55533165661643,125.50949062149624,348.21670555437714,101.88838823065964,367.7652040847247,75.82372352352951
labeled-data\005D\img059.png,282.2405230144541,219.17937941274505,295.2728553680191,211.84869246386472,302.60354231689945,196.3727977940062,310.74875003787764,177.63882003575645,316.4503954425623,158.9048422775067,322.9665616193448,140.17086451925695,331.9262901124208,114.10619981212687,283.0550437865519,206.14704705918,295.2728553680191,190.6711523893215,305.86162540529074,176.00977849156084,312.37779158207326,156.46127996121322,319.7084785309536,137.72730220296347,325.4101239356383,114.10619981212687
labeled-data\005D\img070.png,283.0550437865519,228.139107905821,300.159980000606,215.10677555225595,309.9342292657798,198.00183933820182,319.7084785309536,184.96950698463678,331.111769340323,166.23552922638703,340.88601860549676,146.68703069603947,355.54739250325747,126.3240113935941,281.4260022423563,210.21965091966905,288.7566891912366,193.11471470561492,296.08737614011693,174.38073694736516,303.41806308899726,154.0177176449198,310.74875003787764,133.65469834247443,322.152040847247,111.6626374958334
labeled-data\005D\img077.png,265.13558680039995,234.6552740826035,278.9824399260628,219.17937941274505,287.9421684191388,205.33252628708215,299.3454592285082,185.7840277567346,,,,,,,271.65175297718247,219.17937941274505,283.8695645586497,199.6308808823975,293.6438138238235,181.71142389624555,303.41806308899726,161.34840459380013,,,,
labeled-data\005D\img109.png,303.41806308899726,264.7925426502227,321.3375200751492,251.76021029665765,337.6279355171055,237.09883639889696,352.2893094148662,220.80842095694067,373.4668494894094,202.07444319869091,398.7169934244417,188.22759007302807,420.7090542710827,176.00977849156084,306.67614617738855,248.5021272082664,313.19231235417107,231.39719099421225,320.5229993030514,210.21965091966905,327.8536862519317,186.5985485288324,333.55533165661643,154.0177176449198,340.07149783339895,127.95305293778972
