scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop8\img003.png,3.0054222345352173,0.1668999195098877,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop8\img005.png,,,,,369.7671859184408,220.32519857949183,373.06111787815877,211.26688569026743,,,,,,,,,344.23921323062666,221.9721645593508,340.94528127090865,215.3843006399149,,,,,,
labeled-data\nop8\img014.png,3.0980568528175354,0.3509087562561035,,,,,377.12354795600174,210.06642565877405,382.8803241613267,200.19766644964545,388.6371003666518,192.79609704279898,392.7490833704553,183.7497344344311,,,351.62925333241947,214.17840866257762,346.6948737278552,207.59923585649187,345.8724771270945,201.02006305040618,339.2933043210088,192.79609704279898,334.35892471644445,182.92733783367038
labeled-data\nop8\img018.png,,,,,,,,,376.3550498378767,217.85474960970333,382.11943076738316,208.79643672047894,,,,,,,,,350.00359416013305,219.5017155895623,343.41573024069714,214.56081764998538,,
labeled-data\nop8\img034.png,,,,,382.11943076738316,200.56160682118406,382.9429137573126,193.97374290174815,387.0603287069601,185.73891300245327,,,,,,,375.5315668479472,202.20857280104303,373.06111787815877,195.62070888160713,369.7671859184408,190.6798109420302,,,,
labeled-data\nop8\img039.png,,,,,,,387.3004469871521,207.49344420433044,388.6342542171478,201.12675380706787,391.9266867696947,191.97370044203825,391.5270140171051,185.24599647521973,,,,,377.0957021713257,208.75376224517822,375.0442864894867,202.75468254089355,371.2242157459259,196.3095989227295,366.81811475753784,190.66312623023987
labeled-data\nop8\img050.png,,,,,,,404.35347149547937,251.61755219681243,406.8239204652678,245.02968827737647,408.47088644512684,234.32440940829315,409.29436943505624,230.20699445864568,,,,,396.1186415961845,253.2645181766714,393.648192626396,247.50013724716496,390.35426066667804,240.91227332772905,385.4133627271011,234.32440940829315
