scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\004E\img070.png,283.0550437865519,281.082958092179,298.5309384564104,272.9377503712009,309.9342292657798,259.090897245538,318.07943698675797,250.94568952455984,327.8536862519317,233.0262325384079,344.14410169388805,215.10677555225595,357.1764340474531,200.4454016544953,278.9824399260628,268.0506257386139,276.5388776097694,252.57473106875545,270.02271143298685,236.28431562679916,265.13558680039995,217.55033786854938,263.50654525620433,202.88896397078872,259.43394139571524,181.71142389624555
labeled-data\004E\img113.png,339.25697706130114,198.81636011029963,345.77314323808366,188.22759007302807,348.21670555437714,176.82429926365865,,,,,,,,,339.25697706130114,187.41306930093026,342.51506014969243,178.45334080785426,,,,,,,,
labeled-data\004E\img125.png,331.9262901124208,268.0506257386139,335.9988939729099,255.0182933850489,339.25697706130114,242.80048180358168,,,,,,,,,331.111769340323,255.0182933850489,331.9262901124208,244.42952334777732,,,,,,,,
labeled-data\004E\img131.png,319.7084785309536,264.7925426502227,328.6682070240295,255.0182933850489,334.36985242871424,240.35691948728822,,,,,,,,,318.07943698675797,258.27637647344017,315.6358746704645,246.05856489197294,,,,,,,,
labeled-data\004E\img210.png,336.8134147450077,200.4454016544953,343.32958092179024,186.5985485288324,349.03122632647495,174.38073694736516,349.03122632647495,164.6064876821914,,,,,,,335.9988939729099,188.22759007302807,339.25697706130114,175.19525771946303,,,,,,,,
labeled-data\004E\img247.png,277.3533983818672,266.4215841944183,285.4986061028453,255.0182933850489,293.6438138238235,241.17144025938606,301.78902154480164,224.06650404533195,309.11970849368197,210.21965091966905,,,,,270.02271143298685,255.83281415714671,270.83723220508466,238.7278779430926,271.65175297718247,219.17937941274505,273.28079452137814,202.07444319869091,276.5388776097694,184.15498621253897,,
labeled-data\004E\img280.png,251.2887336747371,283.52652040847244,265.95010757249776,277.0103542316899,275.72435683767156,267.2361049665161,286.3131268749432,260.71993878973365,298.5309384564104,248.5021272082664,309.9342292657798,233.8407533105057,324.5956031635405,219.99390018484286,243.95804672585678,270.4941880549074,239.07092209326987,257.46185570134236,234.99831823278078,244.42952334777732,236.62735977697645,224.88102481742976,234.18379746068297,198.81636011029963,226.03858973970483,173.56621617526736
