scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\uvfp8\img0009.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\uvfp8\img0031.png,,,,,,,,,,,,,,,,,,,,,370.5906689083703,212.9138516701264,368.9437029285113,199.7381238312546,364.0028049889344,186.56239599238273
labeled-data\uvfp8\img0041.png,,,,,,,420.8231312940691,293.6151846832164,420.8231312940691,280.43945684434453,,,,,,,,,406.0004374753383,304.3204635522997,401.88302252569093,291.1447357134279,398.589090565973,276.32204189469707,390.35426066667804,261.4993480759663
labeled-data\uvfp8\img0067.png,485.05480450856936,324.0840553106075,485.87828749849876,312.5552934515946,483.40783852871033,301.8500145825112,480.9373895589219,291.1447357134279,475.9964916193449,275.4985589047676,,,,,472.70255965962696,318.31967438110104,466.11469574019105,306.7909125220882,458.70334883082563,296.08563365300483,451.2920019214602,285.38035478392146,447.99806996174226,273.0281099349791,439.76324006244744,262.32283106589574
labeled-data\uvfp8\img0178.png,457.0563828509667,263.9697970457547,455.4094168711077,250.7940692068829,448.8215529516718,237.6183413680111,439.76324006244744,222.79564754928026,430.704927173223,209.61991971040845,,,,,445.5276209919538,260.67586508603677,433.17537614301153,252.44103518674189,419.1761653142102,241.7357563176585,408.47088644512684,231.85396043850466,399.4125735559024,223.61913053920978,384.5898797371716,212.9138516701264
labeled-data\uvfp8\img0197.png,406.42991065979004,307.16596978902817,407.22562074661255,296.0519676208496,402.49368488788605,283.82353115081787,396.1186415961845,273.0281099349791,389.6885554790497,259.17802810668945,385.31213188171387,247.67767190933228,,,397.18875646591187,301.1750214099884,389.2473887205124,289.8741798400879,380.2334957122803,278.44626903533936,372.6087255477905,263.6144051551819,366.74684405326843,253.69572734832764,358.28413486480713,243.93072034418583
labeled-data\uvfp8\img0228.png,546.816028753281,325.7310212904664,546.816028753281,317.4961913911716,541.8751308137041,302.67349757244074,537.7577158640565,287.02732076378044,,,,,,,535.2872668942682,318.31967438110104,524.5819880251847,310.9083274717356,515.5236751359605,301.02653159258176,508.93581121652454,284.55687179399195,503.99491327694756,276.32204189469707,496.58356636758214,267.2637290054727
