scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\vocal0\img0114.png,,,389.5307776767485,336.4363001595498,401.88302252569093,296.90911664293435,415.05875036456274,259.8523820961073,428.23447820343455,216.20778362984436,441.41020604230636,163.50487227435707,457.8798658408961,120.68375679802358,375.5315668479472,338.90674912933827,359.88539003928696,296.90911664293435,346.7096622004151,265.6167630256137,332.7104513716138,220.32519857949183,311.2998936334471,165.15183825421605,295.6537168247868,123.15420576781207
labeled-data\vocal0\img0171.png,381.29594777745365,413.0202182229923,388.70729468681907,390.7861774948961,392.001226646537,349.61202799842164,389.5307776767485,296.90911664293435,386.2368457170306,249.14710322702393,382.9429137573126,207.14947074061996,,,374.70808385801774,392.43314347475507,369.7671859184408,354.55292593799857,364.0028049889344,298.55608262279327,362.3558390090754,249.97058621695345,362.3558390090754,204.67902177083153,,
labeled-data\vocal0\img0225.png,259.01635456085205,232.32093286514282,263.03337264060974,221.64073193073273,262.3572688102722,210.73502397537231,263.7659571170807,198.20341062545776,265.3116817474365,183.42625379562378,265.4657568323354,171.29502135909007,,,252.4303444325924,224.19602918624878,246.62205815315247,214.32834911346436,241.39162802696228,204.09208297729492,231.54591631889343,195.43450021743774,222.34696459770203,183.69858407974243,211.95241694152355,172.57816314697266
labeled-data\vocal0\img0231.png,,,382.9429137573126,383.37483058553073,381.29594777745365,331.4954022199729,379.6489817975947,295.2621506630753,378.8254988076652,240.08879033779954,378.8254988076652,210.4434027003379,,,382.11943076738316,382.5513475956012,378.8254988076652,333.1423681998318,376.3550498378767,292.7917016932869,372.23763488822925,242.55923930758803,368.12021993858184,212.0903686801969,,
labeled-data\vocal0\img0269.png,371.1174615621567,404.9797341823578,375.5315668479472,378.43393264595375,387.0603287069601,339.7302321192677,392.3123970031738,305.11162877082825,399.4271287918091,256.90465450286865,401.86963534355164,205.00452423095703,408.47088644512684,159.3874573247096,364.0028049889344,380.9043816157422,354.94449209971,342.2006810890562,346.1135228872299,311.19710779190063,336.9238986968994,262.1260657310486,324.34084963798523,206.80124282836914,313.7703426032355,158.56397433478008
labeled-data\vocal0\img0274.png,,,398.589090565973,292.7917016932869,410.11785242498576,260.67586508603677,423.29358026385756,223.61913053920978,437.2927910926589,180.79801506287635,447.99806996174226,142.09431453619032,463.6442467704026,99.27319905985689,379.6489817975947,292.7917016932869,365.64977096879335,263.14631405582526,352.47404312992154,228.5600284787867,337.6513493111907,190.6798109420302,322.0051725025304,149.50566144555575,307.1824786837996,101.74364802964533
labeled-data\vocal0\img0291.png,,,397.3224893808365,215.92806339263916,396.3601875305176,195.75232239067554,396.12262439727783,172.5443468093872,396.1186415961845,144.56476350597882,396.1186415961845,119.86027380809412,,,394.1395740509033,216.02642011642456,391.6922678947449,195.82885417342186,391.89465522766113,173.11528778076172,392.8247096364665,143.7412805160493,387.0603287069601,119.86027380809412,,
