scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\007C\img004.png,213.8207781582376,309.59118511560257,229.29667282809606,309.59118511560257,251.2887336747371,303.8895397109178,265.95010757249776,299.81693585042876,283.0550437865519,290.85720735735276,300.159980000606,284.3410411805703,326.2246447077361,276.1958334595921,217.07886124662883,293.30076967364624,223.5950274234114,277.8248750037877,237.44188054907426,263.9780218781249,248.84517135844368,252.57473106875545,269.20819066088904,241.98596103148387,280.61148147025847,228.139107905821
labeled-data\007C\img013.png,213.8207781582376,307.1476227993091,234.18379746068297,303.8895397109178,255.3613375352262,299.00241507833096,276.5388776097694,290.85720735735276,300.159980000606,285.9700827247659,315.6358746704645,277.8248750037877,335.9988939729099,270.4941880549074,217.07886124662883,283.52652040847244,226.03858973970483,269.6796672828096,235.81283900487858,251.76021029665765,243.95804672585678,233.8407533105057,253.73229599103053,223.2519832732341,261.8775037120087,207.77608860337563
labeled-data\007C\img017.png,239.07092209326987,272.12322959910307,255.3613375352262,269.6796672828096,277.3533983818672,266.4215841944183,302.60354231689945,263.16350110602707,324.5956031635405,257.46185570134236,340.07149783339895,249.3166479803642,359.6199963637465,241.17144025938606,243.95804672585678,255.0182933850489,244.77256749795458,237.09883639889696,248.0306505863458,222.43746250113628,251.2887336747371,202.07444319869091,253.73229599103053,183.34046544044116,257.8048998515196,160.53388382170232
labeled-data\007C\img018.png,243.95804672585678,263.9780218781249,263.50654525620433,264.7925426502227,280.61148147025847,263.16350110602707,301.78902154480164,256.64733492924455,318.07943698675797,253.3892518408533,333.55533165661643,244.42952334777732,352.2893094148662,239.54239871519042,248.0306505863458,246.87308566407074,252.1032544468349,225.69554558952757,251.2887336747371,209.40513014757124,256.175858307324,190.6711523893215,260.24846216781305,175.19525771946303,257.8048998515196,158.9048422775067
labeled-data\007C\img026.png,225.22406896760702,271.3087088270052,241.5144844095633,269.6796672828096,255.3613375352262,265.6070634223205,275.72435683767156,259.090897245538,291.20025150753,249.3166479803642,305.04710463319293,235.46979485470135,315.6358746704645,218.36485864064724,234.99831823278078,256.64733492924455,245.5870882700524,242.80048180358168,260.24846216781305,233.0262325384079,275.72435683767156,224.06650404533195,286.3131268749432,214.29225478015815,298.5309384564104,198.00183933820182
labeled-data\007C\img029.png,226.03858973970483,271.3087088270052,239.07092209326987,268.0506257386139,254.54681676312833,263.16350110602707,274.90983606557376,253.3892518408533,286.3131268749432,240.35691948728822,296.08737614011693,229.76814945001664,,,233.36927668858516,257.46185570134236,244.77256749795458,246.05856489197294,258.61942062361743,234.6552740826035,274.09531529347595,220.80842095694067,283.0550437865519,214.29225478015815,288.7566891912366,202.88896397078872
labeled-data\007C\img035.png,214.6352989303354,274.5667919153965,229.29667282809606,272.9377503712009,247.216129814248,263.16350110602707,265.13558680039995,253.3892518408533,280.61148147025847,244.42952334777732,294.4583345959213,231.39719099421225,,,223.5950274234114,263.9780218781249,235.81283900487858,249.3166479803642,252.1032544468349,234.6552740826035,265.13558680039995,221.62294172903847,,,,
