scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop1\img0009.png,,,,,,,316.240791573024,147.03521247576725,315.4173085830945,136.32993360668388,315.4173085830945,123.97768875774153,317.887757552883,110.80196091886972,,,,,,,,,,,,
labeled-data\nop1\img0124.png,,,,,,,,,,,,,280.0075400161265,175.0336341333699,,,,,,,,,266.00832918732516,188.2093619722417,273.4196760966906,175.85711712329936
labeled-data\nop1\img0211.png,363.1793219990049,376.78696666609477,361.53235601914594,362.78775583729345,361.53235601914594,345.49461304877417,358.2384240594279,330.6719192300434,355.7679750896395,310.08484448180616,346.7096622004151,292.7917016932869,331.0634853917548,276.32204189469707,356.59145807956895,364.4347218171524,345.0626962205561,353.72944294806905,336.0043833313317,337.2597831494793,326.12258745217787,317.4961913911716,323.6521384823894,303.49698056237025,328.59303642196636,280.43945684434453
labeled-data\nop1\img0249.png,366.47325395872286,394.08010945461405,371.4141518982998,380.9043816157422,373.06111787815877,365.25820480708194,373.8846008680882,350.4355109883511,373.8846008680882,337.2597831494793,373.06111787815877,323.26057232067797,369.7671859184408,305.9674295321587,,,,,,,334.35741735147275,353.72944294806905,326.9460704421074,343.8476470689152,320.3582065226714,330.6719192300434
labeled-data\nop1\img0307.png,401.0595395357614,287.02732076378044,401.0595395357614,275.4985589047676,401.88302252569093,260.67586508603677,400.2360565458319,246.67665425723544,399.4125735559024,233.50092641836363,397.76560757604346,218.67823259963285,392.8247096364665,202.20857280104303,389.5307776767485,279.615973854415,378.8254988076652,272.20462694504965,370.5906689083703,259.8523820961073,361.53235601914594,249.14710322702393,350.00359416013305,241.7357563176585,343.41573024069714,231.03047744857514
labeled-data\nop1\img0333.png,,,,,445.5276209919538,226.91306249892773,440.58672305237684,213.73733466005586,434.82234212287045,202.20857280104303,431.5284101631525,187.38587898231225,,,,,,,,,,,,,,
labeled-data\nop1\img0521.png,,,,,,,,,,,,,,,,,,,,,,,,,,
