scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\vocal3\img0072.png,335.58754777908325,251.8593543767929,348.55856585502625,210.97378170490265,356.69805908203125,171.0986345410347,358.6987581253052,126.13405632972717,351.1944007873535,88.21198034286499,338.74067854881287,42.32734525203705,330.70341968536377,4.812000751495361,325.6413301229477,212.63923239707947,318.33208990097046,167.7206473350525,316.50209724903107,129.41432523727417,314.8720211982727,85.00943541526794,319.23770356178284,42.11481535434723,326.8415117263794,5.652303695678711
labeled-data\vocal3\img0114.png,,,303.41806308899726,299.00241507833096,313.19231235417107,276.1958334595921,327.0391654798339,253.3892518408533,340.07149783339895,228.95362867791883,353.9183509590618,200.4454016544953,374.2813702615072,167.05004999848484,278.9824399260628,298.18789430623315,272.4662737492803,277.0103542316899,263.50654525620433,252.57473106875545,252.1032544468349,219.17937941274505,243.95804672585678,187.41306930093026,234.99831823278078,159.7193630496045
labeled-data\vocal3\img0224.png,293.99044704437256,310.6224184036255,298.5309384564104,289.22816581315715,296.90189691221474,267.2361049665161,300.57588881254196,234.15529775619507,303.3602764606476,203.17496156692505,307.97521161846817,168.39723348617554,,,294.4583345959213,288.41364504105934,293.00556564331055,267.1699839234352,295.39707469940186,234.74253821372986,293.12558484077454,203.15310287475586,293.2483141422272,170.64566373825073,,
labeled-data\vocal3\img0227.png,292.0147722796279,316.10735129238503,295.2728553680191,295.74433198993967,296.90189691221474,269.6796672828096,300.159980000606,237.09883639889696,300.97450077270383,197.187318566104,306.67614617738855,163.7919669100936,,,292.8292930517257,296.55885276203753,294.4583345959213,269.6796672828096,296.90189691221474,237.9133571709948,296.08737614011693,197.187318566104,294.4583345959213,164.6064876821914,,
labeled-data\vocal3\img0233.png,290.63069808483124,316.30587473511696,297.43714809417725,285.27696657180786,303.0589292049408,257.99516248703003,306.61550319194794,226.10587906837463,308.917733669281,195.6961784362793,309.75184285640717,164.81460666656494,,,286.9426543712616,285.2426652908325,285.95704984664917,256.41167068481445,286.4681787490845,224.01001834869385,285.6663432121277,195.16438341140747,285.5890392065048,169.4206371307373,,
labeled-data\vocal3\img0261.png,268.02639451622963,322.00200033187866,276.8125714659691,304.4960079193115,286.58503818511963,283.87306997179985,297.0867509841919,256.51975750923157,309.0092793703079,222.94904685020447,321.49047660827637,189.1264591217041,334.82445311546326,153.14905548095703,261.89296102523804,304.89802646636963,255.96441888809204,281.0713748931885,249.65858149528503,248.8953733444214,245.78835892677307,215.98013615608215,242.37504374980927,181.83375597000122,240.5451853275299,136.23821902275085
labeled-data\vocal3\img0323.png,280.47919607162476,287.31737899780273,285.42566788196564,265.4197835922241,287.8025698661804,243.44426518678665,289.91832733154297,222.47478556632996,294.1039798259735,198.33450150489807,296.3789858818054,172.9795840382576,,,275.78694845736027,266.6021237373352,275.80972097814083,243.8662916123867,274.6030523777008,220.24414229393005,277.19779324531555,197.22312259674072,275.7773206233978,172.4698896408081,276.5388776097694,152.38867610072418
