scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop5\img0017.png,,,,,,,,,305.63337326049805,322.28619050979614,316.8953910470009,312.7631688117981,329.27873063087463,304.64764642715454,,,,,,,272.59619310676106,330.6719192300434,268.737169444561,318.07559061050415,262.5859112739563,309.93314838409424
labeled-data\nop5\img0086.png,,,,,,,,,313.18122577667236,301.0918936729431,318.9311261177063,292.32932990789413,326.80251455307007,282.81480526924133,,,,,286.5954039355624,305.9674295321587,282.4779889859149,297.7325996328638,279.18405702619697,289.49776973356893,273.0358519554138,281.32175302505493
labeled-data\nop5\img0094.png,,,303.06506373415215,371.84606872651784,303.5714101791382,364.5628664493561,306.489550948143,358.01427125930786,310.47107887268066,351.465279340744,315.31170159578323,343.954998254776,323.3176710009575,334.93150782585144,277.28337371349335,371.73178204894066,273.89496898651123,363.5379137992859,270.9896728992462,354.10407161712646,268.7653976082802,342.9492645263672,262.27940487861633,334.4880485534668,257.94404220581055,324.63328236341476
labeled-data\nop5\img0245.png,,,336.0043833313317,372.66955171644736,338.4748323011202,368.5521367667999,341.76876426083817,361.964272847364,344.23921323062666,353.72944294806905,348.3566281802741,343.8476470689152,353.297526119851,332.31888520990236,312.12337662337654,371.0225857365883,310.47641064351757,363.61123882722296,310.47641064351757,355.3764089279281,310.47641064351757,347.14157902863315,308.8294446636586,336.4363001595498,309.6529276535881,327.37798727032543
labeled-data\nop5\img0395.png,,,,,292.35978486506883,388.3157285251076,299.39315766096115,380.1626138538122,302.9413216114044,372.92207765579224,312.6781439781189,364.70678901672363,319.44494223594666,355.1856961250305,256.95001629810076,384.1983135754602,255.70023798942566,379.4563460946083,254.770840883255,372.752518594265,253.54348194599152,364.1364354789257,251.3419298529625,356.24886882305145,250.78147447109222,347.03736639022827
labeled-data\nop5\img0411.png,,,,,,,287.41888692549185,322.43708933074845,287.41888692549185,312.5552934515946,289.0658529053508,303.49698056237025,288.24236991542136,295.2621506630753,,,,,282.4779889859149,320.79012335088953,284.1249549657739,311.73181046166513,285.77192094563287,303.49698056237025,288.24236991542136,295.2621506630753
labeled-data\nop5\img0505.png,,,311.790913105011,339.7254264354706,312.5685362815857,328.49987745285034,313.7703426032355,315.0257424213831,311.4832136631012,302.37734174728394,317.06427456295347,294.43866767314586,,,309.8507442474365,340.6187672019005,310.22533416748047,328.0360641479492,310.60886216163635,314.33107805252075,308.82264733314514,301.5108947753906,309.9306287765503,293.37956511974335,,
