scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\002B_resized\img044.png,245.5870882700524,333.2122875064392,255.3613375352262,321.8089966970698,260.24846216781305,308.77666434350476,272.4662737492803,290.85720735735276,281.4260022423563,278.63939577588553,295.2728553680191,256.64733492924455,309.9342292657798,243.61500257567948,247.216129814248,317.7363928365807,248.84517135844368,300.63145662252657,255.3613375352262,287.59912426896153,261.0629829399109,271.3087088270052,265.95010757249776,259.090897245538,,
labeled-data\002B_resized\img079.png,247.216129814248,342.17201599951517,263.50654525620433,326.69612132965665,281.4260022423563,316.10735129238503,302.60354231689945,301.4459773946244,319.7084785309536,289.22816581315715,340.07149783339895,276.1958334595921,361.2490379079422,264.7925426502227,248.0306505863458,324.2525590133632,245.5870882700524,308.77666434350476,242.32900518166116,293.30076967364624,239.07092209326987,275.3813126874943,238.25640132117206,255.83281415714671,230.11119360019393,238.7278779430926
labeled-data\002B_resized\img114.png,303.41806308899726,260.71993878973365,309.9342292657798,250.13116875246203,314.8213538983667,239.54239871519042,320.5229993030514,226.51006636162538,323.7810823914427,215.92129632435376,330.2972485682252,203.70348474288653,,,305.86162540529074,249.3166479803642,311.56327080997545,237.09883639889696,318.07943698675797,225.69554558952757,322.9665616193448,215.10677555225595,325.4101239356383,202.88896397078872,,
labeled-data\002B_resized\img181.png,326.2246447077361,220.80842095694067,335.18437320081205,210.21965091966905,340.07149783339895,196.3727977940062,344.95862246598585,182.52594466834336,351.4747886427684,166.23552922638703,356.3619132753553,149.1305930123329,,,328.6682070240295,209.40513014757124,334.36985242871424,196.3727977940062,338.44245628920334,179.26786157995207,344.14410169388805,162.9774461379958,349.84574709857276,149.1305930123329,,
labeled-data\002B_resized\img221.png,279.79696069816066,283.52652040847244,290.3857307354322,272.9377503712009,296.90189691221474,259.090897245538,302.60354231689945,246.05856489197294,309.11970849368197,224.06650404533195,313.19231235417107,206.96156783127782,,,283.0550437865519,272.12322959910307,280.61148147025847,259.90541801763584,284.6840853307475,246.87308566407074,293.6438138238235,224.06650404533195,303.41806308899726,206.96156783127782,,
labeled-data\002B_resized\img239.png,261.0629829399109,307.1476227993091,272.4662737492803,294.92981121784186,289.5712099633344,282.7119996363746,305.04710463319293,263.16350110602707,321.3375200751492,247.68760643616858,331.111769340323,233.8407533105057,346.58766401018147,219.17937941274505,261.8775037120087,291.67172812945057,260.24846216781305,277.0103542316899,260.24846216781305,259.090897245538,262.6920244841065,241.98596103148387,265.13558680039995,223.2519832732341,268.39366988879124,202.07444319869091
labeled-data\002B_resized\img249.png,258.61942062361743,317.7363928365807,267.57914911669343,301.4459773946244,277.3533983818672,290.04268658525496,289.5712099633344,273.7522711432987,296.90189691221474,253.3892518408533,296.08737614011693,231.39719099421225,,,256.9903790794218,302.2604981667222,259.43394139571524,287.59912426896153,261.0629829399109,268.8651465107118,270.02271143298685,252.57473106875545,279.79696069816066,233.8407533105057,,
