scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop5\img0067.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop5\img0301.png,,,,,347.5331451903446,294.43866767314586,350.00359416013305,277.1455248846266,353.297526119851,259.8523820961073,357.41494106949847,241.7357563176585,358.2384240594279,223.61913053920978,,,331.8869683816843,294.43866767314586,333.5339343615433,278.79249086448556,334.35741735147275,259.8523820961073,336.0043833313317,241.7357563176585,,
labeled-data\nop5\img0386.png,,,,,,,,,303.06506373415215,399.8444903841205,313.7703426032355,386.6687625452487,319.53472353274196,375.1400006862358,,,,,,,261.8909142376777,399.8444903841205,258.59698227795974,386.6687625452487,255.3030503182418,371.0225857365883
labeled-data\nop5\img0451.png,284.1249549657739,230.20699445864568,284.9484379557034,217.85474960970333,289.0658529053508,196.4441918715366,,,,,,,,,281.65450599598546,214.56081764998538,283.30147197584444,194.7972258916776,,,,,,,,
labeled-data\nop5\img0553.png,281.65450599598546,367.7286537768704,294.83023383485727,357.023374907787,304.7120297140111,345.49461304877417,314.59382559316504,332.31888520990236,326.9460704421074,315.84922541131255,334.35741735147275,305.1439465422292,344.23921323062666,283.7333888040625,269.3022611470431,355.3764089279281,263.53788021753667,346.3180960387037,253.6560843383828,329.84843624011387,252.00911835852384,316.67270840124206,250.36215237866486,301.02653159258176,247.89170340887637,285.38035478392146
labeled-data\nop5\img0650.png,,,,,,,280.83102300605594,360.31730686750495,287.41888692549185,347.96506201856266,302.2415807442227,331.4954022199729,314.59382559316504,324.0840553106075,,,,,246.2447374290174,361.964272847364,243.77428845922896,347.96506201856266,241.30383948944046,331.4954022199729,241.30383948944046,315.84922541131255
labeled-data\nop5\img0713.png,304.7120297140111,353.72944294806905,324.4756214723189,338.0832661394088,334.35741735147275,326.5545042803959,350.82707715006256,305.9674295321587,365.64977096879335,287.85080375370995,377.1785328278062,273.0281099349791,389.5307776767485,254.08800116660086,292.35978486506883,338.0832661394088,284.1249549657739,319.96664036096,278.3605740362675,303.49698056237025,270.9492271269021,287.02732076378044,262.7143972276072,270.5576609651907,252.00911835852384,252.44103518674189
