scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop1\img0009.png,,,,,,,316.240791573024,147.03521247576725,315.4173085830945,136.32993360668388,315.4173085830945,123.97768875774153,317.887757552883,110.80196091886972,,,,,,,,,,,,
labeled-data\nop1\img0030.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop1\img0077.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop1\img0087.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop1\img0124.png,,,,,,,,,,,281.1750202178955,188.03546869382262,282.4779889859149,177.50408310315834,,,,,,,,,270.12574413697257,187.38587898231225,272.6436038017273,175.08590245246887
labeled-data\nop1\img0188.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop1\img0211.png,363.1793219990049,376.78696666609477,361.53235601914594,362.78775583729345,361.53235601914594,345.49461304877417,358.2384240594279,330.6719192300434,355.7679750896395,310.08484448180616,346.7096622004151,292.7917016932869,331.0634853917548,276.32204189469707,356.59145807956895,364.4347218171524,345.0626962205561,353.72944294806905,336.0043833313317,337.2597831494793,326.12258745217787,317.4961913911716,323.6521384823894,303.49698056237025,328.59303642196636,280.43945684434453
labeled-data\nop1\img0243.png,,,,,,,,,,,,,,,,,,,,,,,,,,
