scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\uvfp3\img0014.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\uvfp3\img0061.png,408.96329164505005,329.4145841598511,413.323490858078,324.35002982616425,416.8230676651001,320.3254404067993,419.7495776414871,315.26727294921875,422.47009727392816,305.9674295321587,426.5875122235755,299.3795656127228,,,409.3534851074219,324.119736969471,410.63710260391235,318.9113643169403,411.67362117767334,312.80366945266724,411.7648184048448,305.9674295321587,415.88223335449226,296.08563365300483,,
labeled-data\uvfp3\img0062.png,,,,,,,,,,,,,,,325.2991044622484,331.4954022199729,327.76955343203684,323.26057232067797,327.76955343203684,315.84922541131255,,,,,,
labeled-data\uvfp3\img0144.png,345.0626962205561,371.84606872651784,350.82707715006256,365.25820480708194,355.7679750896395,357.8468578977165,359.06190704935744,349.61202799842164,362.3558390090754,340.55371510919724,,,,,344.23921323062666,364.4347218171524,345.0626962205561,356.19989191785754,345.88617921048564,346.3180960387037,347.5331451903446,335.6128171696203,349.1801111702036,326.5545042803959,,
labeled-data\uvfp3\img0234.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\uvfp3\img0277.png,,,346.7096622004151,320.79012335088953,349.1801111702036,312.5552934515946,349.1801111702036,304.3204635522997,353.297526119851,294.43866767314586,355.7679750896395,283.7333888040625,,,343.41573024069714,319.96664036096,346.7096622004151,311.73181046166513,348.3566281802741,303.49698056237025,350.00359416013305,294.43866767314586,351.650560139992,282.0864228242035,,
labeled-data\uvfp3\img0283.png,3.4233697056770325,0.7572102546691895,,,,,351.650560139992,291.1447357134279,353.1921229362488,284.1157689169049,356.07163927704096,277.9315643310547,358.2384240594279,272.20462694504965,,,,,345.0626962205561,288.6742867436394,347.5331451903446,287.02732076378044,344.23921323062666,279.615973854415,,
