scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\uvfp1\img006.png,,,,,,,,,,,,,,,,,,,,,,,369.7671859184408,235.97137538815213,364.8262879788639,226.0895795089982
labeled-data\uvfp1\img022.png,426.26027250289917,359.128000497818,422.5472357273102,343.80955505371094,417.26182079315186,329.4979176521301,410.64816427230835,314.8311839103699,406.3665409088135,297.7442030906677,400.687132358551,284.8449098467827,,,419.9996483041396,344.6711300588447,413.256450176239,330.65684175491333,407.7124893665314,314.9129991531372,401.00395917892456,296.5948257446289,398.19265937805176,287.22649478912354,,
labeled-data\uvfp1\img034.png,,,,,,,,,,,344.1006712913513,231.0310001373291,,,,,,,,,340.4250882267952,245.4187833070755,337.9348363876343,234.50355529785156,333.77560353279114,225.24826765060425
labeled-data\uvfp1\img047.png,,,,,,,,,,,,,,,,,,,,,,,330.24000240182534,224.44261352913924,331.8869683816843,217.03126661977387
labeled-data\uvfp1\img075.png,322.8286554924599,239.26530734787008,326.9460704421074,231.03047744857514,329.4165194118958,223.61913053920978,329.4165194118958,212.0903686801969,331.0634853917548,200.56160682118406,331.0634853917548,189.85632795210068,336.0043833313317,179.97453207294683,319.53472353274196,231.85396043850466,316.240791573024,224.44261352913924,312.12337662337654,214.56081764998538,308.8294446636586,205.50250476076098,308.00596167372913,194.7972258916776,,
labeled-data\uvfp1\img137.png,308.8294446636586,259.8523820961073,312.94685961330606,251.61755219681243,312.94685961330606,239.26530734787008,311.2998936334471,226.91306249892773,310.47641064351757,217.85474960970333,308.00596167372913,208.79643672047894,304.7120297140111,202.20857280104303,301.41809775429317,252.44103518674189,297.30068280464576,244.206205287447,294.83023383485727,232.67744342843417,292.35978486506883,221.9721645593508,290.71281888520986,213.73733466005586,293.1832678549983,205.50250476076098
labeled-data\uvfp1\img155.png,,,,,,,,,,,,,,,,,,,,,,,,,,
