scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop3\img055.png,360.7088730292164,343.0241640789857,361.53235601914594,331.4954022199729,364.0028049889344,314.2022594314536,368.12021993858184,299.3795656127228,370.5906689083703,285.38035478392146,377.1785328278062,273.0281099349791,381.29594777745365,262.32283106589574,359.88539003928696,327.37798727032543,355.7679750896395,315.84922541131255,354.94449209971,303.49698056237025,351.650560139992,294.43866767314586,349.1801111702036,281.262939834274,340.94528127090865,268.0872119954022
labeled-data\nop3\img105.png,423.29358026385756,240.91227332772905,424.9405462437166,229.38351146871616,427.41099521350503,217.03126661977387,428.23447820343455,204.67902177083153,434.82234212287045,197.2676748614661,438.1162740825884,179.15104908301737,446.35110398188334,169.26925320386346,420.8231312940691,227.7365454888572,415.05875036456274,218.67823259963285,414.2352673746332,208.79643672047894,409.29436943505624,196.4441918715366,404.35347149547937,182.44498104273532,398.589090565973,167.62228722400448
labeled-data\nop3\img113.png,360.7088730292164,264.79328003568423,361.53235601914594,250.7940692068829,364.8262879788639,239.26530734787008,367.2967369486523,226.91306249892773,371.4141518982998,213.73733466005586,375.5315668479472,199.7381238312546,384.5898797371716,188.2093619722417,358.2384240594279,252.44103518674189,354.94449209971,240.08879033779954,352.47404312992154,229.38351146871616,352.47404312992154,215.3843006399149,350.00359416013305,203.855538780902,341.76876426083817,190.6798109420302
labeled-data\nop3\img118.png,333.5339343615433,271.38114395512014,336.0043833313317,257.3819331263188,337.6513493111907,243.3827222975175,341.76876426083817,230.20699445864568,345.0626962205561,221.14868156942129,349.1801111702036,209.61991971040845,359.88539003928696,194.7972258916776,332.7104513716138,257.3819331263188,329.4165194118958,241.7357563176585,326.9460704421074,231.03047744857514,326.9460704421074,221.9721645593508,324.4756214723189,206.3259877506905,314.59382559316504,197.2676748614661
labeled-data\nop3\img142.png,274.24315908662004,201.38508981111357,280.0075400161265,188.2093619722417,283.30147197584444,178.32756609308785,285.77192094563287,170.09273619379297,289.88933589528034,157.74049134485062,294.83023383485727,147.03521247576725,304.7120297140111,136.32993360668388,273.4196760966906,190.6798109420302,272.59619310676106,179.15104908301737,271.77271011683155,169.26925320386346,269.3022611470431,157.74049134485062,266.8318121772546,145.38824649590828,259.42046526788926,133.85948463689544
labeled-data\nop3\img162.png,232.24552660021607,203.855538780902,237.18642453979305,190.6798109420302,243.77428845922896,180.79801506287635,249.53866938873534,171.73970217365195,256.95001629810076,159.3874573247096,263.53788021753667,149.50566144555575,276.71360805640853,137.97689958654286,229.77507763042763,192.32677692188918,228.12811165056866,183.26846403266478,224.0106967009212,166.79880423407502,221.54024773113275,161.03442330456858,219.06979876134426,148.68217845562623,209.1880028821904,136.32993360668388
labeled-data\nop3\img194.png,342.5922472507677,357.023374907787,341.76876426083817,346.3180960387037,348.3566281802741,329.84843624011387,351.650560139992,315.84922541131255,354.94449209971,303.49698056237025,363.1793219990049,291.1447357134279,370.5906689083703,284.55687179399195,340.94528127090865,346.3180960387037,338.4748323011202,333.96585118976134,336.0043833313317,320.79012335088953,331.8869683816843,308.4378785019471,326.12258745217787,293.6151846832164,316.240791573024,282.90990581413297
