scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\vocal\img0012.png,3.348409950733185,0.5928306579589844,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\vocal\img0056.png,254.34873646828729,191.0586131173978,253.7311242258402,183.02965396558528,253.7311242258402,175.00069481377278,255.58396095318156,168.8245723893016,254.96634871073442,158.32516426770061,,,,,249.40783852871036,184.88249069292664,244.46694058913343,177.47114378356125,238.90843040710936,170.67740911664296,235.20275695242665,163.26606220727754,,,,
labeled-data\vocal\img0096.png,,,248.43625116348267,179.71049895882607,249.11214876174927,170.71118259429932,250.0027322769165,161.2536106109619,249.54222059249878,151.16315913200378,249.21305513381958,142.221675157547,,,238.3158881664276,183.2225296497345,234.2106761932373,174.64979004859924,227.61014986038208,168.1194624900818,220.82957118749619,160.75926733016968,216.41302728652954,154.7134313583374,210.95161986351013,148.95174407958984
labeled-data\vocal\img0127.png,248.71556854248047,224.00339126586914,248.906973361969,211.8174901008606,249.44217538833618,200.0779209136963,250.3316683769226,188.83893489837646,250.80610132217407,175.98431777954102,249.84155130386353,163.81398691236973,,,241.3861472606659,214.45716762542725,236.06952085345984,204.0617437362671,230.68961787223816,196.43331623077393,222.1788866519928,187.7234706878662,216.78561305999756,180.02280712127686,208.8836259841919,170.95231914520264
labeled-data\vocal\img0143.png,246.93738955892186,231.20340887646043,246.31977731647478,220.08638851241233,247.555001801369,208.9693681483642,248.79022628626322,199.70518451165745,248.17261404381614,188.58816414760935,249.40783852871036,178.70636826845546,,,239.5260426495565,221.93922523975368,237.055593679768,213.29265384549404,231.49708349774394,207.11653142102287,224.70334883082566,200.32279675410456,221.6152876185901,193.52906208718628,214.8215529516718,183.64726620803242
labeled-data\vocal\img0179.png,234.58514470997957,226.2625109368835,237.055593679768,214.52787833038826,237.055593679768,202.1756334814459,238.29081816466223,190.4410008749507,238.90843040710936,178.70636826845546,,,,,228.40902228550837,216.99832730017673,223.46812434593144,205.26369469368151,217.90961416390738,198.46996002676323,209.88065501209488,189.8233886325036,204.9397570725179,181.17681723824393,196.29318567825825,174.38308257132564
labeled-data\vocal\img0201.png,234.51871538162231,212.3044033050537,236.18257808685303,198.40242195129395,237.3792486190796,184.74671840667725,237.71488416194916,172.0391139984131,236.99975419044495,155.38459587097168,234.58514470997957,144.12008269141694,,,226.57141971588135,201.9657278060913,218.90808653831482,190.48994255065918,211.9023795723915,180.4433078765869,202.44144582748413,171.1015887260437,194.88102626800537,162.46768474578857,185.6956706047058,151.28566765785217
