scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\uvfp2\img0117.png,426.26027250289917,359.128000497818,424.1170632537871,343.0241640789857,417.26182079315186,329.4979176521301,410.64816427230835,314.8311839103699,406.0004374753383,299.3795656127228,400.687132358551,284.8449098467827,,,421.64661428399864,346.3180960387037,413.256450176239,330.65684175491333,407.7124893665314,314.9129991531372,403.52998850554985,301.8500145825112,396.94212458611395,288.6742867436394,,
labeled-data\uvfp2\img0180.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\uvfp2\img0234.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\uvfp2\img0247.png,439.76324006244744,386.6687625452487,443.0571720221654,375.1400006862358,451.2920019214602,363.61123882722296,455.4094168711077,351.2589939782806,461.9972807905436,338.90674912933827,461.17379780061407,327.37798727032543,,,434.82234212287045,380.9043816157422,424.9405462437166,366.9051707869409,415.05875036456274,364.4347218171524,400.2360565458319,352.9059599581396,,,,
labeled-data\uvfp2\img0324.png,490.81918543807575,268.0872119954022,494.9366003877232,255.73496714645984,498.23053234744117,241.7357563176585,503.17143028701804,229.38351146871616,504.2887396812439,213.19014191627502,505.6418792568066,193.15025991181864,503.99491327694756,171.73970217365195,486.7017704884283,259.8523820961073,475.9964916193449,245.85317126730598,475.1730086294154,235.1478923982226,468.5126267671585,220.5494339466095,466.11469574019105,207.14947074061996,,
labeled-data\uvfp2\img0466.png,486.7017704884283,248.32362023709442,485.87828749849876,227.7365454888572,494.9366003877232,208.79643672047894,503.17143028701804,187.38587898231225,509.75929420645394,158.56397433478008,512.2297431762424,125.62465473760051,508.93581121652454,99.27319905985689,479.29042357906286,229.38351146871616,472.70255965962696,213.73733466005586,461.17379780061407,193.97374290174815,453.76245089124876,167.62228722400448,442.2336890322359,137.97689958654286,442.2336890322359,102.56713101957484
labeled-data\uvfp2\img0472.png,486.7017704884283,241.7357563176585,489.99570244814623,228.5600284787867,496.58356636758214,208.79643672047894,505.6418792568066,188.2093619722417,513.8767091561015,161.8579062944981,513.489893913269,128.36109590530396,513.0346093177795,100.99759817123413,476.8199746092744,232.67744342843417,469.408627699909,215.3843006399149,458.50324511528015,195.94975972175598,449.8990800380707,171.93653011322021,435.5589334666729,143.73498034477234,426.5875122235755,109.15499493901075
