scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop12\img0026.png,382.9429137573126,356.19989191785754,387.88381169688955,343.8476470689152,390.35426066667804,332.31888520990236,396.1186415961845,321.613606340819,399.4125735559024,310.08484448180616,402.70650551562034,301.02653159258176,406.0004374753383,285.38035478392146,378.0020158177357,347.14157902863315,374.70808385801774,335.6128171696203,370.5906689083703,319.1431573710305,,,,,,
labeled-data\nop12\img0044.png,357.41494106949847,289.49776973356893,362.3558390090754,276.32204189469707,366.47325395872286,265.6167630256137,369.7671859184408,252.44103518674189,372.23763488822925,240.91227332772905,373.8846008680882,231.03047744857514,375.5315668479472,217.85474960970333,351.650560139992,282.0864228242035,348.3566281802741,267.2637290054727,345.0626962205561,253.2645181766714,343.41573024069714,241.7357563176585,,,,
labeled-data\nop12\img0093.png,373.06111787815877,347.14157902863315,376.3550498378767,335.6128171696203,378.8254988076652,325.7310212904664,381.29594777745365,313.3787764415241,382.11943076738316,302.67349757244074,382.9429137573126,291.1447357134279,383.76639674724214,273.0281099349791,369.7671859184408,338.0832661394088,365.64977096879335,325.7310212904664,363.1793219990049,314.2022594314536,359.06190704935744,301.02653159258176,356.59145807956895,288.6742867436394,,
labeled-data\nop12\img0187.png,347.5331451903446,336.4363001595498,345.0626962205561,324.0840553106075,347.5331451903446,313.3787764415241,347.5331451903446,303.49698056237025,345.88617921048564,287.85080375370995,,,,,345.0626962205561,327.37798727032543,345.0626962205561,313.3787764415241,343.41573024069714,301.8500145825112,343.41573024069714,287.85080375370995,,,,
labeled-data\nop12\img0292.png,390.35426066667804,360.31730686750495,392.8247096364665,348.7885450084922,393.648192626396,333.1423681998318,391.1777436566075,318.31967438110104,393.648192626396,309.26136149187664,391.1777436566075,295.2621506630753,,,385.4133627271011,350.4355109883511,382.11943076738316,333.96585118976134,381.29594777745365,322.43708933074845,377.1785328278062,308.4378785019471,374.70808385801774,298.55608262279327,,
labeled-data\nop12\img0650.png,355.7679750896395,333.96585118976134,356.59145807956895,317.4961913911716,356.59145807956895,299.3795656127228,353.297526119851,285.38035478392146,350.82707715006256,268.9106949853317,,,,,351.650560139992,319.1431573710305,350.00359416013305,301.8500145825112,346.7096622004151,287.85080375370995,341.76876426083817,273.85159292490863,,,,
labeled-data\nop12\img0704.png,374.70808385801774,347.14157902863315,377.1785328278062,333.1423681998318,385.4133627271011,315.0257424213831,390.35426066667804,298.55608262279327,397.76560757604346,284.55687179399195,406.0004374753383,263.14631405582526,411.7648184048448,232.67744342843417,366.47325395872286,337.2597831494793,354.94449209971,322.43708933074845,345.88617921048564,306.7909125220882,331.0634853917548,290.3212527234984,317.06427456295347,273.0281099349791,298.1241657945752,256.55845013638935
