scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\nop9\img0014.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop9\img0060.png,,,400.2360565458319,287.85080375370995,402.70650551562034,280.43945684434453,404.35347149547937,273.85159292490863,410.9413354149153,261.4993480759663,411.7648184048448,258.20541611624833,418.3526823242807,249.97058621695345,379.6489817975947,289.49776973356893,374.70808385801774,281.262939834274,367.2967369486523,274.6750759148381,363.1793219990049,263.9697970457547,355.7679750896395,259.8523820961073,348.3566281802741,254.08800116660086
labeled-data\nop9\img0077.png,,,429.88144418329347,225.26609651906875,433.99885913294094,219.5017155895623,434.82234212287045,207.14947074061996,434.82234212287045,198.91464084132508,440.58672305237684,192.32677692188918,443.0666430592537,179.9850025177002,401.0595395357614,222.79564754928026,398.589090565973,220.32519857949183,395.295158606255,211.26688569026743,392.8247096364665,205.50250476076098,389.5307776767485,197.2676748614661,383.3847908973694,186.94509983062744
labeled-data\nop9\img0099.png,,,,,,,,,0.49777698516845703,4.447710454463959,,,,,,,,,,,,,,,395.2707271575928,114.93267059326172
labeled-data\nop9\img0106.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop9\img0122.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop9\img0129.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop9\img0162.png,,,,,,,,,,,,,,,,,,,,,,,179.24482941627502,160.39258766174316,179.54261524472878,150.3291444354852
