scorer,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat,Nat
bodyparts,AC,AC,LC1,LC1,LC2,LC2,LC3,LC3,LC4,LC4,LC5,LC5,LVP,LVP,RC1,RC1,RC2,RC2,RC3,RC3,RC4,RC4,RC5,RC5,RVP,RVP
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\vocal0\img0071.png,,,386.9698795180724,331.7946643717728,408.4500860585199,275.6156626506024,420.0163511187609,245.04767641996557,430.7564543889846,205.39191049913944,443.14888123924277,171.51927710843376,451.4104991394149,130.2111876075732,373.7512908777969,335.09931153184164,353.0972461273667,285.529604130809,344.83562822719455,251.6569707401033,328.31239242685035,210.3488812392427,315.0938037865749,169.86695352839934,297.7444061962135,126.08037865748713
labeled-data\vocal0\img0205.png,,,390.2745266781412,384.66901893287434,390.2745266781412,341.7086058519793,388.62220309810675,307.00981067125645,385.3175559380379,254.96161790017214,383.66523235800344,198.78261617900176,,,377.05593803786576,383.0166953528399,374.5774526678142,343.3609294320138,368.7943201376937,303.7051635111876,363.8373493975904,253.30929432013772,361.35886402753874,200.43493975903618,,
labeled-data\vocal0\img0358.png,,,,,378.70826161790023,308.6621342512909,379.5344234079174,282.2249569707401,381.1867469879519,257.44010327022374,382.83907056798625,217.78433734939762,,,,,377.88209982788305,311.1406196213425,377.05593803786576,285.529604130809,374.5774526678142,256.61394148020656,371.27280550774526,218.61049913941486,,
labeled-data\vocal0\img0382.png,382.0129087779691,280.5726333907057,391.1006884681584,263.22323580034424,391.1006884681584,238.4383820998279,388.62220309810675,214.47969018932878,387.79604130808957,195.47796901893292,,,,,373.7512908777969,259.0924268502582,367.14199655765924,240.91686746987955,365.4896729776249,217.78433734939762,369.6204819277109,195.47796901893292,,,,
labeled-data\vocal0\img0473.png,,,344.83562822719455,411.93235800344235,346.4879518072289,375.581239242685,348.96643717728057,337.5777969018933,353.0972461273667,294.61738382099827,347.3141135972462,249.17848537005165,,,342.3571428571429,411.93235800344235,334.09552495697073,376.40740103270224,330.7908777969019,340.88244406196213,328.31239242685035,299.5743545611016,327.48623063683306,254.1354561101549,,
labeled-data\vocal0\img0560.png,381.1867469879519,405.32306368330467,387.79604130808957,380.5382099827883,391.9268502581756,350.79638554216865,395.23149741824443,311.1406196213425,394.40533562822725,266.5278829604131,391.1006884681584,228.52444061962137,390.2745266781412,174.8239242685026,375.4036144578314,380.5382099827883,371.27280550774526,352.4487091222031,370.4466437177281,313.6191049913941,366.31583476764206,264.0493975903615,367.9681583476764,228.52444061962137,372.92512908777974,179.7808950086059
labeled-data\vocal0\img0714.png,,,399.36230636833056,271.4848537005164,401.0146299483649,233.48141135972463,401.8407917383821,188.042512908778,405.14543889845106,142.60361445783138,404.31927710843377,97.1647160068847,407.6239242685027,62.465920826161835,386.9698795180724,273.1371772805508,382.0129087779691,229.35060240963855,380.3605851979346,188.042512908778,382.0129087779691,144.2559380378658,378.70826161790023,97.1647160068847,377.05593803786576,64.94440619621349
